date,state,demand
2023-08-26,Karnataka,15653.0
2023-08-27,Karnataka,14874.0
2023-08-28,Karnataka,15754.0
2023-08-29,Karnataka,16118.0
2023-08-30,Karnataka,16932.0
2023-08-31,Karnataka,15859.0
2023-09-01,Karnataka,14698.0
2023-09-02,Karnataka,13699.0
2023-09-03,Karnataka,12015.0
2023-09-04,Karnataka,11800.0
2023-09-05,Karnataka,11774.0
2023-09-06,Karnataka,11574.0
2023-09-07,Karnataka,11556.0
2023-09-08,Karnataka,12425.0
2023-09-09,Karnataka,12290.0
2023-09-10,Karnataka,11719.0
2023-09-11,Karnataka,13630.0
2023-09-12,Karnataka,13502.0
2023-09-13,Karnataka,13744.0
2023-09-14,Karnataka,14328.0
2023-09-15,Karnataka,14317.0
2023-09-16,Karnataka,13695.0
2023-09-17,Karnataka,12362.0
2023-09-18,Karnataka,12940.0
2023-09-19,Karnataka,13320.0
2023-09-20,Karnataka,13923.0
2023-09-21,Karnataka,14484.0
2023-09-22,Karnataka,14624.0
2023-09-23,Karnataka,13462.0
2023-09-24,Karnataka,11923.0
2023-09-25,Karnataka,12709.0
2023-09-26,Karnataka,12400.0
2023-09-27,Karnataka,12481.0
2023-09-28,Karnataka,12968.0
2023-09-29,Karnataka,11955.0
2023-09-30,Karnataka,12147.0
2023-10-01,Karnataka,10826.0
2023-10-02,Karnataka,11643.0
2023-10-03,Karnataka,13941.0
2023-10-04,Karnataka,14522.0
2023-10-05,Karnataka,14552.0
2023-10-06,Karnataka,15012.0
2023-10-07,Karnataka,15111.0
2023-10-08,Karnataka,14689.0
2023-10-09,Karnataka,15403.0
2023-10-10,Karnataka,14845.0
2023-10-11,Karnataka,14448.0
2023-10-12,Karnataka,13486.0
2023-10-13,Karnataka,14006.0
2023-10-14,Karnataka,14491.0
2023-10-15,Karnataka,13458.0
2023-10-16,Karnataka,15016.0
2023-10-17,Karnataka,14651.0
2023-10-18,Karnataka,14715.0
2023-10-19,Karnataka,15442.0
2023-10-20,Karnataka,15785.0
2023-10-21,Karnataka,15411.0
2023-10-22,Karnataka,14540.0
2023-10-23,Karnataka,14383.0
2023-10-24,Karnataka,13812.0
2023-10-25,Karnataka,15129.0
2023-10-26,Karnataka,15667.0
2023-10-27,Karnataka,15978.0
2023-10-28,Karnataka,15789.0
2023-10-29,Karnataka,15129.0
2023-10-30,Karnataka,15428.0
2023-10-31,Karnataka,15090.0
2023-11-01,Karnataka,13995.0
2023-11-02,Karnataka,14969.0
2023-11-03,Karnataka,15203.0
2023-11-04,Karnataka,14712.0
2023-11-05,Karnataka,13078.0
2023-11-06,Karnataka,12651.0
2023-11-07,Karnataka,11341.0
2023-11-08,Karnataka,11537.0
2023-11-09,Karnataka,10321.0
2023-11-10,Karnataka,10587.0
2023-11-11,Karnataka,10485.0
2023-11-12,Karnataka,10153.0
2023-11-13,Karnataka,11043.0
2023-11-14,Karnataka,11501.0
2023-11-15,Karnataka,12565.0
2023-11-16,Karnataka,12873.0
2023-11-17,Karnataka,13775.0
2023-11-18,Karnataka,13924.0
2023-11-19,Karnataka,12869.0
2023-11-20,Karnataka,13941.0
2023-11-21,Karnataka,13956.0
2023-11-22,Karnataka,14002.0
2023-11-23,Karnataka,13915.0
2023-11-24,Karnataka,13717.0
2023-11-25,Karnataka,13445.0
2023-11-26,Karnataka,11964.0
2023-11-27,Karnataka,13532.0
2023-11-28,Karnataka,13714.0
2023-11-29,Karnataka,13263.0
2023-11-30,Karnataka,13427.0
2023-12-01,Karnataka,13743.0
2023-12-02,Karnataka,13096.0
2023-12-03,Karnataka,12759.0
2023-12-04,Karnataka,13117.0
2023-12-05,Karnataka,13423.0
2023-12-06,Karnataka,14063.0
2023-12-07,Karnataka,14127.0
2023-12-08,Karnataka,14052.0
2023-12-09,Karnataka,13145.0
2023-12-10,Karnataka,12381.0
2023-12-11,Karnataka,13885.0
2023-12-12,Karnataka,13698.0
2023-12-13,Karnataka,14002.0
2023-12-14,Karnataka,14087.0
2023-12-15,Karnataka,14140.0
2023-12-16,Karnataka,14079.0
2023-12-17,Karnataka,13279.0
2023-12-18,Karnataka,13954.0
2023-12-19,Karnataka,14180.0
2023-12-20,Karnataka,14357.0
2023-12-21,Karnataka,14707.0
2023-12-22,Karnataka,15005.0
2023-12-23,Karnataka,14454.0
2023-12-24,Karnataka,13367.0
2023-12-25,Karnataka,14070.0
2023-12-26,Karnataka,14617.0
2023-12-27,Karnataka,14627.0
2023-12-28,Karnataka,14491.0
2023-12-29,Karnataka,14962.0
2023-12-30,Karnataka,14725.0
2023-12-31,Karnataka,13942.0
2024-01-01,Karnataka,14652.0
2024-01-02,Karnataka,15005.0
2024-01-03,Karnataka,15019.0
2024-01-04,Karnataka,14481.0
2024-01-05,Karnataka,14479.0
2024-01-06,Karnataka,14291.0
2024-01-07,Karnataka,12556.0
2024-01-08,Karnataka,13502.0
2024-01-09,Karnataka,13585.0
2024-01-10,Karnataka,13950.0
2024-01-11,Karnataka,14175.0
2024-01-12,Karnataka,14378.0
2024-01-13,Karnataka,14511.0
2024-01-14,Karnataka,14293.0
2024-01-15,Karnataka,14846.0
2024-01-16,Karnataka,15100.0
2024-01-17,Karnataka,15250.0
2024-01-18,Karnataka,15438.0
2024-01-19,Karnataka,15540.0
2024-01-20,Karnataka,15201.0
2024-01-21,Karnataka,13933.0
2024-01-22,Karnataka,15661.0
2024-01-23,Karnataka,15446.0
2024-01-24,Karnataka,15446.0
2024-01-25,Karnataka,15589.0
2024-01-26,Karnataka,14750.0
2024-01-27,Karnataka,14605.0
2024-01-28,Karnataka,13837.0
2024-01-29,Karnataka,15243.0
2024-01-30,Karnataka,15648.0
2024-01-31,Karnataka,15668.0
2024-02-01,Karnataka,16202.0
2024-02-02,Karnataka,16217.0
2024-02-03,Karnataka,16150.0
2024-02-04,Karnataka,14820.0
2024-02-05,Karnataka,15871.0
2024-02-06,Karnataka,16219.0
2024-02-07,Karnataka,16223.0
2024-02-08,Karnataka,16001.0
2024-02-09,Karnataka,16485.0
2024-02-10,Karnataka,16001.0
2024-02-11,Karnataka,15023.0
2024-02-12,Karnataka,15951.0
2024-02-13,Karnataka,16158.0
2024-02-14,Karnataka,16175.0
