lead_hours,method,n,mae_c,rmse_c,bias_c
5,ecmwf_ifs_c,25,1.624,2.045873896407108,-0.7599999999999999
5,bias_corrected_c,25,1.5623028049527394,1.9709455706955639,-0.14923820696750353
5,ridge_corrected_c,25,1.2489888685305992,1.8318921095766627,0.39350199562220395
5,timesfm_c,25,1.1788162231445312,1.4771939711555004,-0.37336532592773436
5,timesfm_nwp_c,25,1.2439259338378905,1.5403666750663347,-0.35465713500976564
6,persistence_c,24,2.0833333333333335,2.3979157616563596,1.0
6,yesterday_c,24,2.25,3.719318934070233,-1.25
6,ecmwf_ifs_c,24,1.9833333333333334,2.5391927851189244,-0.9999999999999997
6,bias_corrected_c,24,1.8291818875982806,2.4074263032728083,-0.36875699052553257
6,ridge_corrected_c,24,1.7778477391883898,2.2909587182262743,0.1996502679372784
6,timesfm_c,24,1.2737453778584797,1.6603826792625291,-0.5595803260803223
6,timesfm_nwp_c,24,1.3698421319325764,1.7835875565834403,-0.4888498783111572
7,persistence_c,26,2.5,2.8216198293778807,2.0384615384615383
7,yesterday_c,26,1.7692307692307692,2.8010986855435576,-0.8461538461538461
7,ecmwf_ifs_c,26,2.034615384615384,2.631685625368127,-1.6576923076923078
7,bias_corrected_c,26,1.82161308098109,2.4445318723465084,-1.0658362529139398
7,ridge_corrected_c,26,1.6712833394764341,2.0815391646493984,-0.18089362198913642
7,timesfm_c,26,1.0912800568800707,1.5572255518064413,-0.5552555230947641
7,timesfm_nwp_c,26,1.210798556988056,1.7090834149266931,-0.6100565103384165
8,persistence_c,25,3.32,3.594440151122286,3.32
8,yesterday_c,25,1.16,1.8,-0.36
8,ecmwf_ifs_c,25,1.5879999999999999,1.9976986759769353,-1.1239999999999999
8,bias_corrected_c,25,1.33430280495274,1.8028663633934159,-0.513238206967505
8,ridge_corrected_c,25,1.3847823974000375,1.5950747795132196,0.46068051342729305
8,timesfm_c,25,0.7987631225585937,1.0576340400001956,-0.33229263305664064
8,timesfm_nwp_c,25,0.9295108795166016,1.1881739646804954,-0.3641994476318359
9,persistence_c,26,3.8846153846153846,4.109089361965177,3.8846153846153846
9,yesterday_c,26,1.2692307692307692,1.8081014266989475,-0.34615384615384615
9,ecmwf_ifs_c,26,1.4384615384615385,1.827987544142044,-1.2538461538461536
9,bias_corrected_c,26,1.0532893340624376,1.552578278617074,-0.6619900990677857
9,ridge_corrected_c,26,1.0046114174116858,1.2264275833508154,0.4195627988846985
9,timesfm_c,26,0.702025266794058,1.056214768497221,-0.45293360490065354
9,timesfm_nwp_c,26,0.7684606405404898,1.1014750018262391,-0.40145419194148135
10,persistence_c,26,4.230769230769231,4.44626031280567,4.230769230769231
10,yesterday_c,26,0.9230769230769231,1.5191090506254998,-0.46153846153846156
10,ecmwf_ifs_c,26,1.3846153846153846,1.6012014719722665,-1.2384615384615385
